Date,PredictedVolatility,RiskScore_Percent
2024-12-27,0.029760983,23.82
2024-12-28,0.03419949,27.37
2024-12-29,0.038789935,31.05
2024-12-30,0.03630522,29.06
2024-12-31,0.03667329,29.35
2025-01-01,0.036205027,28.98
2025-01-02,0.0370156,29.63
2025-01-03,0.031699114,25.37
2025-01-04,0.024839787,19.88
2025-01-05,0.025891114,20.72
2025-01-06,0.020368773,16.3
2025-01-07,0.01880511,15.05
2025-01-08,0.018072285,14.46
2025-01-09,0.020508131,16.41
2025-01-10,0.019477734,15.59
2025-01-11,0.019072715,15.27
2025-01-12,0.018933143,15.15
2025-01-13,0.01537551,12.31
2025-01-14,0.01723404,13.79
2025-01-15,0.017581163,14.07
2025-01-16,0.016918201,13.54
2025-01-17,0.013397057,10.72
2025-01-18,0.013048852,10.44
2025-01-19,0.013031648,10.43
2025-01-20,0.011091473,8.88
2025-01-21,0.011785251,9.43
2025-01-22,0.010733918,8.59
2025-01-23,0.009857669,7.89
2025-01-24,0.009145991,7.32
2025-01-25,0.008751281,7.0
2025-01-26,0.008542484,6.84
2025-01-27,0.008247374,6.6
2025-01-28,0.008373289,6.7
2025-01-29,0.0059846994,4.79
2025-01-30,0.0059846994,4.79
2025-01-31,0.0066281627,5.3
2025-02-01,0.007411046,5.93
2025-02-02,0.007600653,6.08
2025-02-03,0.007121888,5.7
2025-02-04,0.007121888,5.7
2025-02-05,0.0068413364,5.48
2025-02-06,0.006598416,5.28
2025-02-07,0.0066967816,5.36
2025-02-08,0.00628388,5.03
2025-02-09,0.006094534,4.88
2025-02-10,0.007855229,6.29
2025-02-11,0.007901728,6.32
2025-02-12,0.007929806,6.35
2025-02-13,0.0077688615,6.22
2025-02-14,0.0077688615,6.22
2025-02-15,0.0077688615,6.22
2025-02-16,0.007245719,5.8
2025-02-17,0.007898903,6.32
2025-02-18,0.0076682335,6.14
2025-02-19,0.008130863,6.51
2025-02-20,0.0077688615,6.22
2025-02-21,0.00802044,6.42
2025-02-22,0.0077688615,6.22
2025-02-23,0.0077688615,6.22
2025-02-24,0.00744254,5.96
2025-02-25,0.0064568883,5.17
2025-02-26,0.0068975966,5.52
2025-02-27,0.007121888,5.7
2025-02-28,0.009577064,7.67
2025-03-01,0.010601262,8.48
2025-03-02,0.012128932,9.71
2025-03-03,0.011183227,8.95
2025-03-04,0.009294331,7.44
2025-03-05,0.009047626,7.24
2025-03-06,0.009835728,7.87
2025-03-07,0.010606582,8.49
2025-03-08,0.009481718,7.59
2025-03-09,0.008446872,6.76
2025-03-10,0.0071537597,5.73
2025-03-11,0.008380241,6.71
2025-03-12,0.008562038,6.85
2025-03-13,0.008247374,6.6
2025-03-14,0.008405486,6.73
2025-03-15,0.006939702,5.55
2025-03-16,0.0071948343,5.76
2025-03-17,0.007966001,6.38
2025-03-18,0.0076114726,6.09
2025-03-19,0.00770643,6.17
2025-03-20,0.0077688615,6.22
2025-03-21,0.008377364,6.7
2025-03-22,0.009850401,7.88
2025-03-23,0.010195141,8.16
2025-03-24,0.010295648,8.24
2025-03-25,0.009813608,7.85
2025-03-26,0.009549557,7.64
2025-03-27,0.009047626,7.24
2025-03-28,0.009047626,7.24
2025-03-29,0.0077688615,6.22
2025-03-30,0.009467943,7.58
2025-03-31,0.008674384,6.94
2025-04-01,0.0083313435,6.67
2025-04-02,0.0077688615,6.22
2025-04-03,0.007894777,6.32
2025-04-04,0.0077688615,6.22
2025-04-05,0.0077688615,6.22
2025-04-06,0.0077688615,6.22
2025-04-07,0.006110615,4.89
2025-04-08,0.006248688,5.0
2025-04-09,0.0065633534,5.25
2025-04-10,0.007175939,5.74
2025-04-11,0.007246081,5.8
2025-04-12,0.007121888,5.7
2025-04-13,0.0072051315,5.77
2025-04-14,0.009854257,7.89
2025-04-15,0.009644473,7.72
2025-04-16,0.009387955,7.51
2025-04-17,0.009295649,7.44
2025-04-18,0.0092564225,7.41
2025-04-19,0.009079497,7.27
2025-04-20,0.010404107,8.33
2025-04-21,0.014255915,11.41
2025-04-22,0.012183067,9.75
2025-04-23,0.011767208,9.42
2025-04-24,0.01058421,8.47
2025-04-25,0.009835728,7.87
2025-04-26,0.011833767,9.47
